"","id","Height_cm","True_Leaves","Variety"
"1",1,61,6,"Auto CBD"
"2",2,69,6,"Auto CBD"
"3",3,69,10,"Auto CBD"
"4",4,46,10,"Auto CBD"
"5",5,86,6,"Auto CBD"
"6",6,57,14,"Auto CBD"
"7",7,78,6,"Auto CBD"
"8",8,77,4,"Auto CBD"
"9",9,78,6,"Auto CBD"
"10",10,60,5,"Auto CBD"
"11",11,145,24,"Berry Blossom "
"12",12,118,28,"Berry Blossom "
"13",13,93,24,"Berry Blossom "
"14",14,121,20,"Berry Blossom "
"15",15,115,22,"Berry Blossom "
"16",16,120,24,"Berry Blossom "
"17",17,106.5,18,"Berry Blossom "
"18",18,133,22,"Berry Blossom "
"19",19,93.5,24,"Berry Blossom "
"20",20,100,22,"Berry Blossom "
"21",21,69,28,"Matterhorn CBG"
"22",22,154,6,"Matterhorn CBG"
"23",23,162.5,16,"Matterhorn CBG"
"24",24,92,22,"Matterhorn CBG"
"25",25,159,20,"Matterhorn CBG"
"26",26,89,12,"Matterhorn CBG"
"27",27,91.5,22,"Matterhorn CBG"
"28",28,74,23,"Matterhorn CBG"
"29",29,125,22,"Matterhorn CBG"
"30",30,118,10,"Matterhorn CBG"
